 Trombetta, Alberto                   
 Pierantozzi, Stefano                 
 Mahmoud, Ahmed                       
 Galante, Renata                      
 Oliveira, José                       
 Graefe, Goetz                        
 Ivanov, Todor                        
 Marinov, Veselin                     
 Silva, Joao Carlos                   
 Leitao-junior, Plinio                
 Schwarz, Holger                      
 Winsemann, Thorsten                  
 Zielinski, Bartosz                   
 Sobieski, Scibor                     
 Maslanka, Pawel                      
 Patil, Manish                        
 Loyer, Yann                          
 Sadoun, Isma                         
 Zeitouni, Karine                     
 Medeiros, Camila                     
 Guimarães, Diogo                     
 Cansian, Adriano                     
 Colombini, Angelo Cesar              
 Nolen, Michael                       
 Pittet, Perrine                      
 Cruz, Christophe                     
 Nicolle, Christophe                  
 Pinto, Alex Sandro                   
 Machado, José                        
 Corrêa, Pedro Luiz                   
 Silva, Edemberg                      
 Souza, Guilherme                     
 Salgado, Ana Carolina                
 Barbosa, Raul                        
 Ferreira, Nickerson                  
 Chou, Li-der                         
 Daniel, Guilherme                    
 Junior, Amilcar                      
 Times, Valeria                       
 Tedesco, Patricia                    
 Matwin, Stan                         
 Batko, Michal                        
 Daute, Oliver                        
 Budikova, Petra                      
 Botorek, Jan                         
 Zezula, Pavel                        
 Leclercq, Eric                       
 Troya, Andres                        
 Aknouche, Rachid                     
 Mehdi, Muntazir                      
 Köppen, Veit                         
 Jánosi-rancz, Katalin Tünde          
 Bigolin, Marcio                      
 Colombini, Angelo                    
 Ribeiro, Helena                      
 Vu, Trinh                            
 Delbru, Renaud                       
 Tummarello, Giovanni                 
 Sahay, Ratnesh                       
 Curry, Edward                        
 Chovanec, Peter                      
 Asfari, Ounas                        
 Ciolac, Camelia                      
 Tahir, Hassane                       
 Imine, Abdessamade                   
 Rusinowitch, Michael                 
 Imine, Abdessamad                    
 Lajos, árpád                         
 Lin, King-ip                         
 Fidalgo, Robson                      
 Mozafari, Barzan                     
 Shi, Gao                             
 Zaniolo, Carlo                       
 Alves, Edson                         
 España, Sergio                       
 Castro, Jaelson                      
 Folino, Francesco                    
 Pizzuti, Clara                       
 Mattoso, Marta                       
 Ali Guechi, Farida                   
 Bentayeb, Fadila                     
 Zuzarte, Calisto                     
 Abal, Iago                           
 Soisalon-soininen, Eljas             
